dm,time,width,snr
276.00,248,9,50.98
276.00,744,9,50.88
276.00,746,9,52.13
276.00,746,9,52.43
276.00,748,9,51.69
276.00,1244,9,50.79
276.00,1246,9,51.94
276.00,1246,9,52.04
276.00,1248,9,51.04
276.00,1744,9,50.88
276.00,1746,9,52.14
276.00,1746,9,52.49
276.00,1748,9,51.45
278.00,244,9,50.03
278.00,246,9,51.10
278.00,246,9,51.21
278.00,248,9,50.20
278.00,744,9,50.34
278.00,746,9,51.59
278.00,746,9,51.78
278.00,748,9,50.88
278.00,1244,9,50.17
278.00,1246,9,51.27
278.00,1246,9,51.24
278.00,1248,9,50.37
278.00,1744,9,50.41
278.00,1746,9,51.39
278.00,1746,9,51.77
278.00,1748,9,50.74
280.00,246,9,50.51
280.00,246,9,50.72
280.00,746,9,50.96
280.00,746,9,51.31
280.00,748,9,50.43
280.00,1246,9,50.69
280.00,1246,9,51.00
280.00,1248,9,50.11
280.00,1746,9,50.98
280.00,1746,9,51.16
280.00,1748,9,50.44
282.00,246,9,50.29
282.00,746,9,50.59
282.00,746,9,50.91
282.00,748,9,50.41
282.00,1246,9,50.43
282.00,1246,9,50.60
282.00,1746,9,50.52
282.00,1746,9,50.74
282.00,1748,9,50.11
284.00,746,9,50.25
284.00,746,9,50.42
284.00,1746,9,50.13
286.00,746,9,50.48
286.00,1746,9,50.03
