644.2,0.00295,1.7,4.1,607.4,0
620.9,0.00295,0.58,2.31,493.3,0
78.8,0.00098,11.7,17,525.6,0
223.2,0.00197,0.92,1.20,657.5,0
789.7,0.00492,5.2,27,483.5,0
565.6,0.00983,1.11,7.9,595.6,0
699.3,0.00295,1.9,7.6,665.3,0
310.2,0.00197,1.10,1.7,552.9,0
123.3,0.00098,5.2,7.9,400.2,0
722.1,0.00786,0.93,5.4,400.2,0
197.2,0.0059,3.4,10.6,800.2,0
197.2,0.0059,3.4,10.6,800.2,0
101.5,0.00786,0.39,2.6,464.2,1
979.1,0.01769,2.4,29,501.1,0
305.7,0.00197,3.8,6.0,519.7,0
340.0,0.00098,1.6,2.7,800.2,0
3006.7,0.0059,0.36,1.50,449.3,0
1391.1,0.0059,0.89,4.9,800.2,0
785.2,0.0059,0.87,2.8,400.2,0
620.1,0.00295,1.08,2.9,400.2,0
546.8,0.00197,1.11,1.48,670.0,0
352.9,0.0118,0.73,6.9,400.2,0
157.0,0.00786,1.17,5.0,584.1,1
358.8,0.01966,0.33,1.02,400.2,0
626.3,0.00098,6.5,5.6,417.6,0
102.0,0.00688,0.97,6.2,599.0,1
164.7,0.00197,1.6,2.6,400.2,0
199.1,0.00492,2.3,6.2,571.9,0
154.7,0.00492,0.99,3.8,400.2,0
217.6,0.00098,2.4,4.5,464.7,0
150.4,0.00393,1.84,6.1,603.9,1
2179.0,0.00983,0.39,2.1,640.9,0
813.9,0.01966,1.03,8.3,456.2,0
102.1,0.06095,3.2,46,800.2,1
102.1,0.06095,3.2,46,701.7,1
102.1,0.06095,3.2,46,639.7,1
1374.0,0.00295,1.45,4.1,617.6,0
527.4,0.00098,2.56,3.0,487.6,0
101.0,0.02163,0.58,3.1,432.6,1
394.9,0.01475,0.86,8.5,585.9,0
430.2,0.01081,0.35,1.70,421.1,0
359.2,0.00393,0.92,2.3,419.9,0
414.4,0.00295,2.6,7.7,400.2,0
119.4,0.00197,0.76,1.20,468.9,0
